Date,ACTUAL
2020-09-01,16766.82
2020-10-01,17848.23
2020-11-01,15523.88
2020-12-01,17339.33
2021-01-01,18014.61
2021-02-01,17433.78
2021-03-01,21061.48
2021-04-01,19678.73
2021-05-01,18233.20
2021-06-01,18085.25
2021-07-01,18531.93
2021-08-01,18253.49
2021-09-01,18106.55
2021-10-01,18117.85
2021-11-01,18678.13
2021-12-01,19769.62
2022-01-01,20238.38
2022-02-01,19257.46
2022-03-01,22756.63
2022-04-01,21734.98
2022-05-01,21503.49
2022-06-01,21054.79
2022-07-01,20729.69
2022-08-01,20326.86
