Date,ACTUAL
2020-09-01,18890.44
2020-10-01,13143.24
2020-11-01,8416.67
2020-12-01,8158.93
2021-01-01,7963.44
2021-02-01,7316.26
2021-03-01,8374.89
2021-04-01,8265.57
2021-05-01,11752.14
2021-06-01,16008.32
2021-07-01,18745.28
2021-08-01,20269.91
2021-09-01,17765.29
2021-10-01,15534.61
2021-11-01,9705.73
2021-12-01,8066.18
2022-01-01,7497.03
2022-02-01,7433.41
2022-03-01,10583.86
2022-04-01,11540.96
2022-05-01,12880.91
2022-06-01,13946.12
2022-07-01,19465.11
2022-08-01,23404.11
